code,name,color,category_id
SM-N986BZNGXID,GALAXY NOTE 20 ULTRA 12/256 5G,BROWN,1
SM-N986BZKHXID,GALAXY NOTE 20 ULTRA 12/512 5G,BLACK,1
SM-N986BZNHXID,GALAXY NOTE 20 ULTRA 12/512 5G,BROWN,1
SM-T295NZKAXID,GALAXY TAB 8.0 (2019),BLACK,1
SM-T295NZSAXID,GALAXY TAB 8.0 (2019),SILVER,1
SM-T225NZAAXID,GALAXY TAB A7 LITE,GRAY,1
SM-T225NZSAXID,GALAXY TAB A7 LITE,SILVER,1
SM-X200NZAAXID,GALAXY TAB A8 3/32GB,GRAY,1
SM-X205NIDFXID,GALAXY TAB A8 4/128GB,PINK,1
SM-X205NZAFXID,GALAXY TAB A8 4/128GB,GRAY,1
SM-X205NZSFXID,GALAXY TAB A8 4/128GB,SILVER,1
SM-T736BLGEXID,GALAXY TAB S7 FE 5G,GREEN,1
SM-T736BLIEXID,GALAXY TAB S7 FE 5G,PINK,1
SM-T736BZKEXID,GALAXY TAB S7 FE 5G,BLACK,1
SM-T736BZSEXID,GALAXY TAB S7 FE 5G,SILVER,1
SM-P615NZAEXID,GALAXY TAB S6 LITE 128GB,GRAY,1
SM-P615NZBEXID,GALAXY TAB S6 LITE 128GB,BLUE,1
SM-P615NZIEXID,GALAXY TAB S6 LITE 128GB,PINK,1
SM-T875NZKAXID,GALAXY TAB S7,BLACK,1
SM-T875NZSAXID,GALAXY TAB S7,SILVER,1
SM-T875NDBAXID,GALAXY TAB S7 6/128GB,BLUE,1
SM-T975NZNEXID,GALAXY TAB S7+,BROWN,1
SM-T975NZSEXID,GALAXY TAB S7+,SILVER,1
SM-T975NZKEXID,GALAXY TAB S7+,BLACK,1
SM-T975NDBEXID,GALAXY TAB S7+ 8/256GB,BLUE,1
SM-R170NZKAXSE,GALAXY BUDS,BLACK,1
SM-R170NZSAXSE,GALAXY BUDS,SILVER,1
SM-R180NZKAXSE,GALAXY BUDS LIVE,BLACK,1
SM-R180NZWAXSE,GALAXY BUDS LIVE,WHITE,1
SM-R180NZNAXSE,GALAXY BUDS LIVE,BROWN,1
SM-R180NZRAXSE,GALAXY BUDS LIVE,RED,1
SM-R190NZKAXSE,GALAXY BUDS PRO,BLACK,1
SM-R190NZVAXSE,GALAXY BUDS PRO,VIOLET,1
SM-R190NZSAXSE,GALAXY BUDS PRO,SILVER,1
SM-R170NZWAXSE,GALAXY BUDS,WHITE,1
SM-R170NZYAXSE,GALAXY BUDS,YELLOW,1
SM-R175NZKAXSE,GALAXY BUDS +,BLACK,1
SM-R175NZBAXSE,GALAXY BUDS +,BLUE,1
SM-R175NZWAXSE,GALAXY BUDS +,WHITE,1
SM-R177NLVAXSE,GALAXY BUDS 2,VIOLET,1
SM-R177NZGAXSE,GALAXY BUDS 2,GREEN,1
SM-R177NZKAXSE,GALAXY BUDS 2,BLACK,1
SM-R177NZWAXSE,GALAXY BUDS 2,WHITE,1
SM-R220NZKAXSE,GALAXY FIT 2,BLACK,1
SM-R220NZRAXSE,GALAXY FIT 2,RED,1
SM-R375NZKAXSE,GALAXY FIT e,BLACK,1
SM-R375NZWAXSE,GALAXY FIT e,WHITE,1
SM-R375NZYAXSE,GALAXY FIT e,YELLOW,1
SM-R840NZKAXSE,GALAXY WATCH ACTIVE 3 45mm,BLACK,1
SM-R840NZSAXSE,GALAXY WATCH ACTIVE 3 45mm,SILVER,1
SM-R850NZDAXSE,GALAXY WATCH ACTIVE 3 41mm,GOLD,1
SM-R850NZSAXSE,GALAXY WATCH ACTIVE 3 41mm,SILVER,1
SM-R860NZDAXSE,GALAXY WATCH 4 40mm,GOLD,1
SM-R860NZKAXSE,GALAXY WATCH 4 40mm,BLACK,1
SM-R865FZDAXSE,GALAXY WATCH 4 40mm LTE,GOLD,1
SM-R870NZGAXSE,GALAXY WATCH 4 44mm,GREEN,1
SM-R870NZKAXSE,GALAXY WATCH 4 44mm,BLACK,1
SM-R870NZSAXSE,GALAXY WATCH 4 44mm,SILVER,1
SM-R880NZKAXSE,GALAXY WATCH 4 CLASIC 42mm,BLACK,1
SM-R880NZSAXSE,GALAXY WATCH 4 CLASIC 42mm,SILVER,1
SM-R890NZKAXSE,GALAXY WATCH 4 CLASIC 46mm,BLACK,1
SM-R890NZSAXSE,GALAXY WATCH 4 CLASIC 46mm,SILVER,1
SM-R895FZKAXSE,GALAXY WATCH 4 CLASIC 46mm LTE,BLACK,1
